Timestep	Mean100Reward	BestMeanReward	episodes	exploration	learning_rate
2590000	10.97	10.97	1264	0.09403750000000001	0.0001
2600000	11.07	11.07	1267	0.094	0.0001
2610000	11.12	11.15	1271	0.0939625	0.0001
2620000	11.21	11.21	1276	0.09392500000000001	0.0001
2630000	11.3	11.32	1280	0.0938875	0.0001
2640000	11.07	11.32	1284	0.09385	0.0001
2650000	11.16	11.32	1287	0.09381250000000001	0.0001
2660000	11.1	11.32	1291	0.09377500000000001	0.0001
2670000	11.25	11.32	1294	0.0937375	0.0001
2680000	11.6	11.6	1299	0.0937	0.0001
2690000	11.76	11.76	1302	0.09366250000000001	0.0001
2700000	11.65	11.76	1306	0.093625	0.0001
2710000	11.47	11.76	1310	0.0935875	0.0001
2720000	11.58	11.76	1314	0.09355000000000001	0.0001
2730000	11.54	11.76	1317	0.0935125	0.0001
2740000	11.7	11.76	1322	0.093475	0.0001
2750000	11.63	11.79	1325	0.0934375	0.0001
2760000	11.46	11.79	1329	0.09340000000000001	0.0001
2770000	11.5	11.79	1332	0.0933625	0.0001
2780000	11.77	11.79	1336	0.093325	0.0001
2790000	12.09	12.09	1341	0.09328750000000001	0.0001
2800000	12.17	12.17	1345	0.09325	0.0001
2810000	12.37	12.37	1349	0.0932125	0.0001
2820000	12.52	12.52	1353	0.09317500000000001	0.0001
2830000	12.64	12.66	1357	0.09313750000000001	0.0001
2840000	12.71	12.72	1362	0.0931	0.0001
2850000	12.82	12.82	1366	0.0930625	0.0001
2860000	12.73	12.83	1370	0.09302500000000001	0.0001
2870000	12.8	12.83	1374	0.0929875	0.0001
2880000	12.8	12.86	1379	0.09295	0.0001
2890000	12.71	12.86	1384	0.09291250000000001	0.0001
2900000	12.7	12.86	1388	0.092875	0.0001
2910000	12.81	12.86	1392	0.0928375	0.0001
2920000	12.92	12.92	1397	0.09280000000000001	0.0001
2930000	12.98	13.0	1401	0.0927625	0.0001
2940000	13.29	13.29	1405	0.092725	0.0001
2950000	13.71	13.71	1410	0.0926875	0.0001
2960000	13.94	13.94	1415	0.09265000000000001	0.0001
2970000	14.3	14.3	1419	0.0926125	0.0001
2980000	14.4	14.42	1423	0.092575	0.0001
2990000	14.75	14.75	1427	0.09253750000000001	0.0001
3000000	15.05	15.05	1432	0.0925	0.0001
3010000	15.1	15.11	1437	0.0924625	0.0001
3020000	15.11	15.11	1441	0.09242500000000001	0.0001
3030000	15.13	15.17	1445	0.09238750000000001	0.0001
3040000	15.11	15.18	1449	0.09235	0.0001
3050000	15.1	15.18	1454	0.0923125	0.0001
3060000	15.08	15.18	1457	0.09227500000000001	0.0001
3070000	15.11	15.18	1461	0.0922375	0.0001
3080000	15.03	15.18	1465	0.0922	0.0001
3090000	14.97	15.18	1469	0.09216250000000001	0.0001
3100000	14.87	15.18	1473	0.09212500000000001	0.0001
3110000	14.87	15.18	1477	0.0920875	0.0001
3120000	15.38	15.38	1481	0.09205	0.0001
3130000	15.21	15.38	1486	0.09201250000000001	0.0001
3140000	15.09	15.38	1489	0.091975	0.0001
3150000	15.11	15.38	1494	0.0919375	0.0001
3160000	15.03	15.38	1498	0.09190000000000001	0.0001
3170000	15.0	15.38	1503	0.0918625	0.0001
3180000	14.97	15.38	1507	0.091825	0.0001
3190000	14.95	15.38	1511	0.09178750000000001	0.0001
3200000	14.93	15.38	1516	0.09175	0.0001
3210000	15.04	15.38	1521	0.0917125	0.0001
3220000	15.13	15.38	1525	0.091675	0.0001
3230000	15.17	15.38	1530	0.09163750000000001	0.0001
3240000	15.19	15.38	1535	0.0916	0.0001
3250000	15.13	15.38	1539	0.0915625	0.0001
3260000	15.21	15.38	1543	0.09152500000000001	0.0001
3270000	15.25	15.38	1548	0.0914875	0.0001
3280000	15.34	15.38	1552	0.09145	0.0001
3290000	15.44	15.45	1557	0.09141250000000001	0.0001
3300000	15.6	15.6	1562	0.091375	0.0001
3310000	15.75	15.75	1566	0.0913375	0.0001
3320000	15.93	15.93	1571	0.0913	0.0001
3330000	16.18	16.18	1576	0.09126250000000001	0.0001
3340000	16.24	16.24	1580	0.091225	0.0001
3350000	16.43	16.43	1585	0.0911875	0.0001
3360000	16.61	16.61	1589	0.09115000000000001	0.0001
3370000	16.78	16.79	1594	0.0911125	0.0001
3380000	16.94	16.94	1599	0.091075	0.0001
3390000	16.9	16.96	1603	0.09103750000000001	0.0001
3400000	17.04	17.04	1608	0.091	0.0001
3410000	17.11	17.11	1613	0.0909625	0.0001
3420000	17.1	17.11	1617	0.090925	0.0001
3430000	17.07	17.11	1622	0.09088750000000001	0.0001
3440000	17.08	17.11	1627	0.09085	0.0001
3450000	16.99	17.11	1632	0.0908125	0.0001
3460000	16.83	17.11	1635	0.09077500000000001	0.0001
3470000	16.79	17.11	1639	0.0907375	0.0001
3480000	16.79	17.11	1644	0.0907	0.0001
3490000	16.87	17.11	1649	0.09066250000000001	0.0001
3500000	16.94	17.11	1653	0.09062500000000001	0.0001
3510000	16.82	17.11	1658	0.0905875	0.0001
3520000	16.82	17.11	1663	0.09055	0.0001
