Timestep	Mean100Reward	BestMeanReward	episodes	exploration	learning_rate
1910000	2.77	2.77	1041	0.0965875	0.0001
1920000	3.05	3.05	1044	0.09655000000000001	0.0001
1930000	3.25	3.25	1046	0.0965125	0.0001
1940000	3.73	3.73	1050	0.096475	0.0001
1950000	3.89	3.89	1052	0.09643750000000001	0.0001
1960000	4.1	4.1	1055	0.0964	0.0001
1970000	4.27	4.27	1058	0.0963625	0.0001
1980000	4.3	4.36	1061	0.09632500000000001	0.0001
1990000	4.55	4.56	1064	0.0962875	0.0001
2000000	4.74	4.74	1067	0.09625	0.0001
2010000	4.8	4.8	1070	0.0962125	0.0001
2020000	5.03	5.03	1073	0.09617500000000001	0.0001
2030000	5.38	5.38	1076	0.0961375	0.0001
2040000	5.51	5.51	1079	0.0961	0.0001
2050000	5.57	5.57	1081	0.09606250000000001	0.0001
2060000	5.86	5.86	1085	0.096025	0.0001
2070000	6.21	6.21	1089	0.0959875	0.0001
2080000	6.51	6.51	1092	0.09595000000000001	0.0001
2090000	6.9	6.9	1096	0.09591250000000001	0.0001
2100000	7.41	7.41	1100	0.095875	0.0001
2110000	7.7	7.7	1103	0.0958375	0.0001
2120000	8.29	8.29	1108	0.09580000000000001	0.0001
2130000	8.63	8.63	1112	0.0957625	0.0001
2140000	9.28	9.28	1116	0.095725	0.0001
2150000	9.88	9.88	1121	0.09568750000000001	0.0001
2160000	10.36	10.36	1125	0.09565	0.0001
2170000	10.81	10.81	1130	0.0956125	0.0001
2180000	11.26	11.26	1134	0.09557500000000001	0.0001
2190000	11.7	11.71	1138	0.09553750000000001	0.0001
2200000	12.2	12.2	1142	0.0955	0.0001
2210000	12.69	12.69	1147	0.0954625	0.0001
2220000	12.82	12.82	1151	0.09542500000000001	0.0001
2230000	13.19	13.19	1155	0.0953875	0.0001
2240000	13.35	13.36	1158	0.09535	0.0001
2250000	13.73	13.73	1163	0.09531250000000001	0.0001
2260000	13.95	13.95	1166	0.095275	0.0001
2270000	14.35	14.35	1170	0.0952375	0.0001
2280000	14.47	14.47	1174	0.0952	0.0001
2290000	14.62	14.62	1178	0.09516250000000001	0.0001
2300000	14.97	14.97	1182	0.095125	0.0001
2310000	15.19	15.19	1187	0.0950875	0.0001
2320000	15.17	15.19	1191	0.09505000000000001	0.0001
2330000	15.19	15.19	1195	0.0950125	0.0001
2340000	15.23	15.23	1199	0.094975	0.0001
2350000	15.37	15.37	1204	0.09493750000000001	0.0001
2360000	15.33	15.37	1208	0.09490000000000001	0.0001
2370000	15.37	15.41	1212	0.0948625	0.0001
2380000	15.4	15.44	1217	0.094825	0.0001
2390000	15.34	15.44	1221	0.09478750000000001	0.0001
2400000	15.3	15.44	1225	0.09475	0.0001
2410000	15.26	15.44	1230	0.0947125	0.0001
2420000	15.36	15.44	1234	0.09467500000000001	0.0001
2430000	15.41	15.44	1238	0.0946375	0.0001
2440000	15.34	15.44	1243	0.0946	0.0001
2450000	15.31	15.44	1247	0.09456250000000001	0.0001
2460000	15.44	15.47	1251	0.094525	0.0001
2470000	15.58	15.58	1255	0.0944875	0.0001
2480000	15.68	15.68	1260	0.09445	0.0001
2490000	15.69	15.71	1264	0.09441250000000001	0.0001
2500000	15.84	15.87	1269	0.094375	0.0001
2510000	15.97	16.0	1273	0.0943375	0.0001
2520000	16.1	16.1	1277	0.09430000000000001	0.0001
2530000	16.14	16.16	1282	0.0942625	0.0001
2540000	15.97	16.16	1285	0.094225	0.0001
2550000	15.97	16.16	1290	0.09418750000000001	0.0001
2560000	15.78	16.16	1294	0.09415000000000001	0.0001
2570000	15.91	16.16	1298	0.0941125	0.0001
2580000	15.89	16.16	1303	0.094075	0.0001
2590000	15.96	16.16	1307	0.09403750000000001	0.0001
2600000	15.99	16.16	1312	0.094	0.0001
2610000	15.97	16.16	1316	0.0939625	0.0001
2620000	15.94	16.16	1320	0.09392500000000001	0.0001
2630000	15.99	16.16	1325	0.0938875	0.0001
2640000	16.01	16.16	1329	0.09385	0.0001
2650000	15.84	16.16	1333	0.09381250000000001	0.0001
2660000	15.89	16.16	1337	0.09377500000000001	0.0001
2670000	15.91	16.16	1341	0.0937375	0.0001
2680000	15.78	16.16	1345	0.0937	0.0001
2690000	15.85	16.16	1349	0.09366250000000001	0.0001
2700000	15.8	16.16	1354	0.093625	0.0001
2710000	15.81	16.16	1358	0.0935875	0.0001
2720000	15.87	16.16	1363	0.09355000000000001	0.0001
2730000	15.77	16.16	1367	0.0935125	0.0001
2740000	15.67	16.16	1371	0.093475	0.0001
2750000	15.63	16.16	1375	0.0934375	0.0001
2760000	15.74	16.16	1379	0.09340000000000001	0.0001
2770000	15.58	16.16	1382	0.0933625	0.0001
2780000	15.64	16.16	1386	0.093325	0.0001
2790000	15.78	16.16	1391	0.09328750000000001	0.0001
2800000	15.99	16.16	1396	0.09325	0.0001
2810000	15.95	16.16	1400	0.0932125	0.0001
2820000	15.86	16.16	1404	0.09317500000000001	0.0001
2830000	15.6	16.16	1408	0.09313750000000001	0.0001
2840000	15.62	16.16	1412	0.0931	0.0001
2850000	15.6	16.16	1417	0.0930625	0.0001
2860000	15.53	16.16	1421	0.09302500000000001	0.0001
2870000	15.48	16.16	1425	0.0929875	0.0001
2880000	15.66	16.16	1430	0.09295	0.0001
2890000	15.67	16.16	1435	0.09291250000000001	0.0001
2900000	15.66	16.16	1439	0.092875	0.0001
2910000	15.61	16.16	1443	0.0928375	0.0001
2920000	15.62	16.16	1447	0.09280000000000001	0.0001
2930000	15.51	16.16	1451	0.0927625	0.0001
2940000	15.48	16.16	1455	0.092725	0.0001
2950000	15.42	16.16	1459	0.0926875	0.0001
2960000	15.44	16.16	1463	0.09265000000000001	0.0001
2970000	15.51	16.16	1467	0.0926125	0.0001
2980000	15.63	16.16	1472	0.092575	0.0001
2990000	15.66	16.16	1476	0.09253750000000001	0.0001
3000000	15.71	16.16	1481	0.0925	0.0001
3010000	15.89	16.16	1486	0.0924625	0.0001
3020000	15.84	16.16	1490	0.09242500000000001	0.0001
3030000	15.74	16.16	1494	0.09238750000000001	0.0001
3040000	15.72	16.16	1499	0.09235	0.0001
3050000	15.85	16.16	1503	0.0923125	0.0001
3060000	15.86	16.16	1507	0.09227500000000001	0.0001
3070000	15.9	16.16	1512	0.0922375	0.0001
3080000	15.85	16.16	1516	0.0922	0.0001
3090000	15.97	16.16	1520	0.09216250000000001	0.0001
3100000	15.97	16.16	1525	0.09212500000000001	0.0001
3110000	15.9	16.16	1529	0.0920875	0.0001
3120000	15.88	16.16	1533	0.09205	0.0001
3130000	15.99	16.16	1538	0.09201250000000001	0.0001
3140000	15.97	16.16	1542	0.091975	0.0001
3150000	16.08	16.16	1546	0.0919375	0.0001
3160000	16.13	16.16	1551	0.09190000000000001	0.0001
3170000	16.22	16.22	1555	0.0918625	0.0001
3180000	16.08	16.22	1559	0.091825	0.0001
3190000	16.08	16.22	1563	0.09178750000000001	0.0001
3200000	16.17	16.22	1568	0.09175	0.0001
3210000	16.04	16.22	1571	0.0917125	0.0001
3220000	16.05	16.22	1576	0.091675	0.0001
3230000	16.17	16.22	1581	0.09163750000000001	0.0001
3240000	16.02	16.22	1585	0.0916	0.0001
3250000	16.13	16.22	1589	0.0915625	0.0001
3260000	16.13	16.22	1594	0.09152500000000001	0.0001
3270000	16.1	16.22	1598	0.0914875	0.0001
3280000	16.23	16.23	1603	0.09145	0.0001
3290000	16.29	16.29	1608	0.09141250000000001	0.0001
3300000	16.26	16.31	1612	0.091375	0.0001
3310000	16.3	16.34	1617	0.0913375	0.0001
3320000	16.39	16.4	1621	0.0913	0.0001
3330000	16.42	16.42	1625	0.09126250000000001	0.0001
3340000	16.42	16.44	1629	0.091225	0.0001
3350000	16.48	16.48	1634	0.0911875	0.0001
3360000	16.41	16.48	1638	0.09115000000000001	0.0001
3370000	16.55	16.56	1643	0.0911125	0.0001
3380000	16.54	16.56	1647	0.091075	0.0001
3390000	16.55	16.58	1651	0.09103750000000001	0.0001
3400000	16.6	16.6	1656	0.091	0.0001
3410000	16.79	16.81	1661	0.0909625	0.0001
3420000	16.76	16.81	1666	0.090925	0.0001
3430000	16.89	16.9	1671	0.09088750000000001	0.0001
3440000	17.01	17.01	1676	0.09085	0.0001
3450000	16.95	17.01	1680	0.0908125	0.0001
3460000	16.98	17.01	1685	0.09077500000000001	0.0001
3470000	17.14	17.14	1690	0.0907375	0.0001
3480000	17.17	17.17	1695	0.0907	0.0001
3490000	17.22	17.23	1699	0.09066250000000001	0.0001
3500000	17.21	17.23	1704	0.09062500000000001	0.0001
3510000	17.28	17.28	1709	0.0905875	0.0001
3520000	17.32	17.32	1713	0.09055	0.0001
3530000	17.27	17.32	1717	0.09051250000000001	0.0001
3540000	17.19	17.32	1721	0.090475	0.0001
3550000	17.25	17.32	1726	0.0904375	0.0001
3560000	17.32	17.32	1731	0.09040000000000001	0.0001
3570000	17.27	17.32	1735	0.0903625	0.0001
3580000	17.3	17.32	1739	0.090325	0.0001
3590000	17.36	17.36	1744	0.0902875	0.0001
3600000	17.35	17.36	1749	0.09025	0.0001
3610000	17.38	17.39	1753	0.0902125	0.0001
3620000	17.33	17.39	1757	0.090175	0.0001
3630000	17.27	17.39	1762	0.09013750000000001	0.0001
3640000	17.2	17.39	1766	0.0901	0.0001
3650000	17.08	17.39	1770	0.0900625	0.0001
3660000	17.04	17.39	1775	0.09002500000000001	0.0001
3670000	17.04	17.39	1780	0.0899875	0.0001
3680000	16.91	17.39	1784	0.08995	0.0001
3690000	16.83	17.39	1788	0.0899125	0.0001
3700000	16.91	17.39	1793	0.08987500000000001	0.0001
3710000	16.94	17.39	1798	0.0898375	0.0001
3720000	16.93	17.39	1803	0.0898	0.0001
3730000	16.96	17.39	1808	0.08976250000000001	0.0001
3740000	17.04	17.39	1812	0.089725	0.0001
3750000	17.03	17.39	1816	0.0896875	0.0001
3760000	17.03	17.39	1821	0.08965000000000001	0.0001
3770000	17.06	17.39	1826	0.08961250000000001	0.0001
3780000	17.03	17.39	1831	0.089575	0.0001
3790000	17.11	17.39	1835	0.0895375	0.0001
3800000	17.11	17.39	1840	0.08950000000000001	0.0001
3810000	17.12	17.39	1845	0.0894625	0.0001
3820000	17.08	17.39	1849	0.089425	0.0001
3830000	17.14	17.39	1854	0.08938750000000001	0.0001
3840000	17.17	17.39	1858	0.08935	0.0001
3850000	17.28	17.39	1863	0.0893125	0.0001
3860000	17.36	17.39	1868	0.08927500000000001	0.0001
3870000	17.37	17.4	1873	0.0892375	0.0001
3880000	17.5	17.5	1877	0.0892	0.0001
3890000	17.54	17.54	1882	0.0891625	0.0001
3900000	17.56	17.56	1887	0.08912500000000001	0.0001
3910000	17.62	17.65	1892	0.0890875	0.0001
3920000	17.65	17.65	1898	0.08905	0.0001
3930000	17.58	17.65	1902	0.08901250000000001	0.0001
3940000	17.62	17.65	1907	0.088975	0.0001
3950000	17.52	17.65	1912	0.0889375	0.0001
3960000	17.6	17.65	1917	0.0889	0.0001
